,true_labels,lda_res_predict,probability
9316,1,1,0.5597962208734863
8322,1,1,0.7346518460090282
8443,1,1,0.7439318790297423
9321,1,1,0.7789380317401337
7273,1,1,0.6846007383474559
8444,1,1,0.6699311578339348
7410,1,0,0.24103593078485264
7266,1,1,0.5190689138113379
9297,1,1,0.6785282833511941
7383,1,1,0.8662999968140801
7288,1,1,0.6746724567645572
7289,1,1,0.7645080768576858
9236,1,1,0.5818878338727751
9245,1,1,0.5170041686924531
8382,1,1,0.7178765036695308
7320,1,1,0.8762418680196755
6417,1,1,0.8498669817833372
7356,1,0,0.40478859068080536
9269,1,0,0.34273588436743474
8362,1,1,0.7981723636001591
6399,1,1,0.6937268232454172
6397,1,1,0.8153244045401639
6396,1,0,0.34518604118859625
6393,1,1,0.7343268614681593
9200,1,1,0.5807827546461212
9285,1,0,0.4651886175058691
9288,1,1,0.5308411397650096
9289,1,1,0.7324108034111807
8344,1,0,0.3286130894738944
8453,1,0,0.2917478419124169
8454,1,1,0.7126878315810379
9081,1,1,0.7717962050073492
9431,1,1,0.579383151300665
9398,1,0,0.3628939961994483
9120,1,0,0.2508548731551091
9400,1,1,0.5404407442017339
8238,1,1,0.8451514360821614
7493,1,0,0.26271199286729
9106,1,0,0.3236336921493482
9425,1,1,0.7871184639974335
7505,1,1,0.6789767160307427
7189,1,1,0.7655280870663433
8456,1,1,0.8263340672046887
7512,1,1,0.8655227267728182
9437,1,1,0.7824249667578569
7187,1,0,0.12372491778413718
7514,1,0,0.1847085699704778
8217,1,0,0.29730800602776003
9087,1,0,0.4907080047035682
7184,1,0,0.32768663083452115
9448,1,1,0.6323995066650098
6269,1,1,0.6395455103434818
8494,1,1,0.6174411344308607
6558,1,1,0.609756823601497
6555,1,0,0.06946830440592239
7257,1,1,0.8505845248887737
7425,1,0,0.11895148666072121
7432,1,0,0.2399117788831622
8294,1,0,0.20402712143377222
9146,1,1,0.5835456159876743
7239,1,1,0.7312242146713428
9366,1,1,0.7720612063734751
7450,1,0,0.15301490445530253
7451,1,1,0.5008690580599179
6538,1,1,0.6070164554223448
6540,1,0,0.35169825304517405
6546,1,0,0.48284864565222724
6547,1,1,0.5890564821625749
6549,1,0,0.1956663332077167
8264,1,1,0.800468259456893
8260,1,0,0.4590994100567896
9390,1,0,0.3405013775434067
6765,1,0,0.13572917454527214
6672,1,0,0.33591100760713416
7330,1,1,0.8206021411645479
6939,1,1,0.595211157099132
8822,1,1,0.7478162838330813
8707,1,0,0.12063530071375084
7840,1,1,0.678321627544195
7986,1,1,0.786822157425839
9703,1,0,0.3895713341042124
5866,1,1,0.7223783839621342
7916,1,0,0.23868423312368792
7761,1,0,0.3776277973561382
8890,1,1,0.8054867440693854
6876,1,0,0.24933506545889628
5858,1,0,0.2248815952162948
8813,1,1,0.5339032364690873
7853,1,1,0.5962005480208602
5851,1,1,0.7975837104940796
6883,1,0,0.4725107819648113
8895,1,0,0.3805261883121417
6884,1,0,0.31643714453888505
7009,1,1,0.5380434012499961
8898,1,1,0.8670662212758767
8900,1,1,0.6306122878802805
8803,1,1,0.8177181370002085
8693,1,1,0.740511031219888
8902,1,1,0.7613423201970249
7983,1,1,0.5342274400407502
6991,1,1,0.6816470429124935
8008,1,0,0.2689147884728774
6990,1,0,0.27931566825570253
6965,1,0,0.09659570767499889
7940,1,1,0.8097530536692872
7952,1,0,0.23548000256103524
8922,1,1,0.5683051711725932
5910,1,1,0.8080418030187929
9756,1,0,0.357326802332423
7957,1,1,0.8877050284976524
5913,1,1,0.8258872554892576
8745,1,0,0.44326171318232177
5823,1,1,0.817664194559647
6951,1,1,0.6296628364207165
9764,1,0,0.4770314734136549
7788,1,1,0.581802634863956
7787,1,1,0.5323066418291971
7968,1,1,0.6711974563073356
8751,1,1,0.8250850546418422
7970,1,1,0.711616732237499
8869,1,0,0.41738324774497804
9718,1,0,0.4004688222289518
7926,1,0,0.22074871524221984
8756,1,1,0.5703500852220458
6942,1,1,0.6151798251023207
9713,1,1,0.716084960098112
7868,1,1,0.8555206523441133
7915,1,1,0.5761066083358612
9818,1,1,0.5234542441216454
8909,1,1,0.7077035531719957
7728,1,1,0.5409165092439315
7727,1,1,0.6366227968001653
9810,1,0,0.25233035148361355
8021,1,1,0.7777209305403656
8022,1,1,0.7407216866712175
8028,1,0,0.20101274343962258
8914,1,1,0.809156019703547
8685,1,1,0.6442181739064134
5833,1,1,0.6687098612508258
8400,0,0,0.4295696255446299
8785,0,0,0.24508047780281775
8752,0,0,0.17374369165523615
8487,0,0,0.19412710854503515
8423,0,0,0.2939063643271179
8486,0,1,0.685165138512751
8488,0,0,0.17726235232853166
8489,0,1,0.8059823905353305
8399,0,1,0.5685034453786956
8398,0,0,0.24157375270100181
8397,0,1,0.7274318524159403
8490,0,0,0.3678039611682775
8750,0,0,0.2642925346444119
8491,0,0,0.2043442294764916
8749,0,0,0.28013249940474105
8492,0,0,0.319485006074691
8786,0,0,0.17183906693799164
8754,0,0,0.48196389054013705
8753,0,1,0.5043267474158529
8404,0,0,0.41577498557081316
8476,0,0,0.40433776897911583
8477,0,0,0.06233458888646442
8757,0,0,0.10228015836370906
8407,0,0,0.38566694573825283
8406,0,0,0.4526456576517047
8478,0,1,0.717643340069989
8405,0,0,0.2318844772686855
8479,0,0,0.3610199838577993
8403,0,1,0.5324082159042801
8485,0,1,0.5828559782204452
8755,0,1,0.521744653867602
8480,0,1,0.6946175117963422
8402,0,0,0.17630403212951729
8481,0,1,0.7295714295961296
8482,0,1,0.596667377029297
8483,0,0,0.1759503776674351
8401,0,1,0.5879487335502684
8484,0,1,0.7715287213146664
8493,0,0,0.14112468347910703
8396,0,0,0.35293955987282044
8748,0,0,0.3322261122123902
8495,0,0,0.4132178939960954
8510,0,0,0.11603280592109637
8511,0,0,0.2040531000082239
8787,0,0,0.22364023963041751
8512,0,1,0.7592903580149396
8513,0,1,0.5804490288095805
8392,0,1,0.6231120525057053
8514,0,1,0.6414950905528984
8515,0,0,0.21212995585112204
8516,0,1,0.5923148443721203
8517,0,0,0.11929338046021913
8788,0,0,0.18526162701512985
8518,0,1,0.5344417223355358
8519,0,1,0.5687341187040571
8391,0,0,0.18571530807397416
8742,0,0,0.22680608994953938
8520,0,0,0.3769608057715145
8521,0,1,0.6466442999865162
8741,0,0,0.39831035991630187
8522,0,0,0.17366132636125334
8743,0,1,0.5295476888606694
8393,0,1,0.6970743335975577
8509,0,0,0.3928066657062627
8500,0,1,0.820098061872355
8496,0,0,0.18349227488484393
8758,0,0,0.282814662027024
8747,0,0,0.10821403777682763
8746,0,0,0.3094671261116257
8395,0,1,0.7677185225542976
8497,0,0,0.20667710000302678
8498,0,0,0.44597050668996985
8499,0,0,0.4109704236791871
8501,0,0,0.46702099900373883
8394,0,1,0.6564160674388648
8502,0,0,0.1560163480246509
8503,0,1,0.5452571939119674
8504,0,1,0.7681205154338665
8505,0,0,0.4276473010506736
8506,0,0,0.35432417246940534
8507,0,0,0.38436071326193766
8508,0,0,0.20127215012219202
8744,0,0,0.19263905291789124
8475,0,1,0.5742786434669366
8472,0,0,0.31772445274812366
8474,0,1,0.5087734519668909
8768,0,0,0.2060193158237554
8432,0,1,0.5197741346993416
8433,0,0,0.2613701594608649
8417,0,0,0.2605582048675119
8769,0,0,0.2215390892007057
8416,0,0,0.23136523242991333
8434,0,1,0.811074867707776
8780,0,0,0.2792930620036323
8415,0,0,0.2682719734956533
8435,0,0,0.23502095915837748
8431,0,0,0.4793232572735291
8781,0,0,0.19708910776668576
8437,0,0,0.1143960533511357
8438,0,0,0.3126720737510262
8439,0,0,0.21787891000444307
8440,0,0,0.15846609654725097
8767,0,0,0.14834219722665845
8441,0,0,0.3489219370463831
8442,0,1,0.581674982601162
8770,0,0,0.08793384755157838
8771,0,1,0.5470751687811084
8765,0,0,0.16018767144211188
8428,0,0,0.15220445393167265
8425,0,0,0.36147074261591267
8779,0,0,0.14445981622814857
8422,0,1,0.7891214135652378
8421,0,0,0.4303313118622466
8426,0,1,0.8047616623733438
8427,0,1,0.6117408363144546
8778,0,1,0.5003215809376713
8777,0,1,0.6358048486682712
8420,0,1,0.6004822873305542
8772,0,0,0.1153151109520263
8419,0,1,0.5502237702646144
8418,0,1,0.7119072188273519
8429,0,0,0.12467182811015577
8776,0,0,0.14730291725350705
8775,0,1,0.7720612063734751
8430,0,0,0.49319405570535346
8774,0,1,0.559498586237698
8773,0,1,0.6693469286825992
8766,0,1,0.6805548292166745
8414,0,0,0.11547757260208327
8473,0,1,0.5574762154099681
8759,0,1,0.6704374053714646
8410,0,0,0.0694045457347744
8460,0,1,0.6316230920199313
8461,0,1,0.6145552297166834
8462,0,0,0.338887501698418
8463,0,1,0.6631343628970057
8464,0,0,0.1539304813744046
8465,0,1,0.5194878435178206
8784,0,1,0.5172841997751587
8466,0,0,0.24275635004059445
8459,0,1,0.7985412582214523
8409,0,1,0.8184509831204495
8467,0,0,0.2862619502015105
8468,0,0,0.21102669822082185
8469,0,1,0.5630487941701252
8470,0,0,0.2662042015505306
8471,0,0,0.463226889328701
8424,0,0,0.402278584726361
8408,0,0,0.28340346560015434
8411,0,0,0.13036614954474235
8458,0,0,0.18323099942032955
8764,0,1,0.7114045420290718
8762,0,1,0.7150689071398221
8413,0,1,0.6588741909193732
8782,0,0,0.19421742138369713
8445,0,1,0.6560695164143365
8446,0,0,0.3737440882186038
8447,0,1,0.7063459466494161
8448,0,0,0.11660140553976833
8763,0,1,0.6297797407864721
8449,0,0,0.37383623000303334
8450,0,1,0.7616008758513496
8760,0,1,0.6041694058341396
8783,0,1,0.6326398047609778
8451,0,0,0.12978912979962925
8452,0,0,0.11081458317688095
8761,0,0,0.4770314734136549
8740,0,1,0.8297062789723096
8412,0,1,0.5531529004980011
8455,0,1,0.5285199071359897
8457,0,1,0.5087130819711544
8523,0,0,0.19389051782238753
8675,0,1,0.6510375806668488
8524,0,0,0.23428382253376467
8626,0,1,0.7701203282004881
8697,0,0,0.1263105649793939
8696,0,1,0.7593003164034021
8695,0,0,0.10030727803802288
8620,0,1,0.8264894423903936
8621,0,0,0.10194663337562043
8622,0,1,0.7297545551424678
8694,0,0,0.179649854734368
8623,0,0,0.159705069193455
8624,0,1,0.8167361438598206
8625,0,1,0.5436089669283484
8627,0,0,0.38217413145408263
8739,0,0,0.3526005823295475
8628,0,0,0.07993296327250067
8629,0,0,0.33992495488947805
8630,0,1,0.5384506963182438
8631,0,0,0.3107341402120921
8632,0,0,0.3365400925288022
8633,0,0,0.2650499951160202
8634,0,1,0.6233477547512996
8635,0,1,0.5715934621129674
8636,0,0,0.1103192214375806
8692,0,0,0.16747225467416618
8618,0,0,0.04149484644381862
8617,0,0,0.3247823224403613
8698,0,0,0.32571999799155044
8616,0,0,0.2523100373138109
8701,0,0,0.47801408341694784
8597,0,0,0.31176292931919314
8598,0,0,0.2756491401966937
8599,0,0,0.486323103183885
8600,0,0,0.4745655158387372
8601,0,1,0.5831157264794857
8602,0,0,0.2544293657364874
8603,0,1,0.6969738476030668
8700,0,0,0.0879624199510005
8699,0,1,0.7415707372501695
8605,0,0,0.438603186631049
8606,0,0,0.1448655562900329
8607,0,1,0.7229020025664122
8608,0,0,0.20513846996481278
8609,0,0,0.21305800306202913
8610,0,1,0.6619212279288895
8611,0,1,0.611019558531013
8612,0,0,0.385575089090969
8613,0,0,0.20937519272117347
8614,0,1,0.5469202160418591
8615,0,0,0.32096223508943844
8637,0,1,0.6658588150424447
8638,0,0,0.1763227996103483
8639,0,0,0.10648417826617235
8656,0,0,0.33655767724934105
8658,0,0,0.20501048859841672
8659,0,0,0.28719224221623935
8660,0,1,0.5403058459245426
8661,0,1,0.5211409001135356
8662,0,0,0.3653706178585389
8663,0,0,0.20872971539194238
8664,0,0,0.23939472261168054
8665,0,1,0.8597738722844818
8680,0,0,0.23675685357685108
8666,0,1,0.505615539028007
8667,0,1,0.5775265051054829
8668,0,1,0.7609157050406641
8669,0,0,0.3311460851102232
8679,0,1,0.690810997581906
8678,0,1,0.6611197673485731
8670,0,0,0.2616570352375221
8677,0,0,0.2734300092254769
8676,0,1,0.7043360341996359
8672,0,0,0.4289230165775994
8673,0,1,0.6465618353483786
8674,0,0,0.1119794822419867
8657,0,1,0.5896303241667372
8655,0,1,0.5862332076796039
8640,0,0,0.38290261496628525
8654,0,0,0.08728990052380368
8691,0,1,0.6943541904952497
8641,0,1,0.5710643690992124
8642,0,1,0.518676012149425
8690,0,0,0.25992970247557246
8643,0,0,0.2606968457620521
8689,0,1,0.5957551532865316
8644,0,0,0.3886476301924931
8688,0,0,0.16807230352289926
8687,0,1,0.7492378897152533
8646,0,0,0.12999027881285544
8647,0,0,0.22150845629648358
8648,0,1,0.5847484898561817
8649,0,1,0.7590621807733906
8686,0,1,0.6865247339926264
8650,0,0,0.10587993002967222
8684,0,1,0.6045936357037538
8652,0,0,0.3110685780687995
8683,0,0,0.13044416346930587
8653,0,0,0.41752220537340484
8682,0,1,0.5829366596403497
8681,0,0,0.4221502273689091
8702,0,0,0.4775243734337321
8596,0,1,0.6894524494669443
8595,0,0,0.3749752954213921
8536,0,1,0.7484758397434537
8538,0,0,0.2833745733168037
8724,0,1,0.7071981414731578
8540,0,1,0.5265705497399015
8541,0,0,0.2946010859442768
8542,0,0,0.11868888537645005
8723,0,0,0.4483965806370883
8722,0,0,0.08292954460865799
8543,0,0,0.12255184463202175
8544,0,0,0.3228375776488378
8545,0,0,0.38067903388180696
8546,0,0,0.2671357987691564
8547,0,0,0.233498756657055
8548,0,0,0.32365881577787375
8549,0,1,0.6608153251338179
8721,0,1,0.717643340069989
8550,0,0,0.23129692378970484
8551,0,0,0.20516778455498744
8552,0,1,0.5851910350687458
8553,0,0,0.41817354437482074
8720,0,0,0.22319421348702476
8719,0,1,0.6768357839675415
8537,0,1,0.7145741289321667
8725,0,0,0.3227803163787779
8556,0,0,0.17878662892461628
8726,0,0,0.1363004425277183
8738,0,0,0.4530850346429357
8737,0,0,0.3322322968448322
8736,0,0,0.3171093855066331
8525,0,1,0.5652908650833992
8735,0,0,0.3937089900663909
8526,0,0,0.19422425534299187
8734,0,0,0.31601500004449495
8527,0,1,0.6688088277743484
8528,0,1,0.8222151945094784
8529,0,0,0.1278767837265516
8733,0,1,0.7696751565651381
8732,0,0,0.39613128757809113
8530,0,0,0.14088423145242412
8730,0,0,0.07469135898195356
8532,0,1,0.7116117827712363
8533,0,0,0.20633546174258166
8534,0,0,0.44256943512197566
8729,0,1,0.566108786108469
8728,0,1,0.7059206407448873
8727,0,0,0.252294256765786
8535,0,1,0.6882791247861457
8555,0,1,0.5206290205962942
8718,0,1,0.7224098447653288
8703,0,0,0.15532609127831606
8577,0,0,0.17913530945405948
8579,0,0,0.25357566677693183
8580,0,1,0.5337663991046402
8710,0,0,0.25358554864957067
8581,0,0,0.3104493257638888
8709,0,0,0.1206129848875714
8582,0,0,0.3688340130932711
8708,0,1,0.5919264628381771
8583,0,1,0.6460750879113651
8584,0,0,0.17723030265926248
8585,0,0,0.19823333527354217
8586,0,1,0.6001464500546915
8390,0,0,0.41064969026878595
8587,0,0,0.3119776302353083
8588,0,0,0.3868638255191533
8590,0,1,0.5336611437454765
8706,0,0,0.12063530071375084
8591,0,0,0.28368461662345246
8705,0,1,0.5883152069706304
8704,0,1,0.6555977788040752
8593,0,0,0.247000128366114
8594,0,0,0.4275348497857979
8578,0,0,0.2568327455603201
8576,0,0,0.15979800363941546
8557,0,0,0.08509246157368483
8575,0,1,0.7744652377222582
8558,0,1,0.5278890885793487
8717,0,1,0.6249966416763381
8716,0,0,0.13959054502682966
8561,0,0,0.33568905346945105
8562,0,0,0.12948536353891235
8563,0,0,0.272484718837969
8715,0,1,0.7148423927207705
8564,0,0,0.1473432265598471
8565,0,1,0.6112674411046036
8714,0,0,0.404206234305683
8566,0,0,0.16133986364974798
8567,0,1,0.5238413279227713
8568,0,0,0.4494651444814006
8713,0,1,0.7140033438060673
8712,0,1,0.691478874950742
8569,0,0,0.09579056987344665
8570,0,1,0.8818762560989032
8711,0,1,0.6514559463704194
8572,0,0,0.13180825983204075
8573,0,1,0.5596300718102273
8574,0,0,0.08363798199646154
8731,0,1,0.675335220304592
8334,0,0,0.09571811692722335
8389,0,0,0.1648381669224931
8057,0,1,0.7961144217777291
8045,0,1,0.5352610896951256
8046,0,1,0.6183704568781994
8047,0,0,0.16641919444379272
8048,0,0,0.31320728302184053
8049,0,0,0.2150831430213227
8050,0,0,0.4797518009184356
8051,0,0,0.41789597885259555
8052,0,1,0.7825550490420377
8053,0,0,0.0902255659014183
8054,0,0,0.41091139937325827
8055,0,0,0.3356142755740666
8056,0,0,0.11984647266072447
8058,0,0,0.2144665810401626
8043,0,1,0.5667760723006874
8060,0,1,0.6406276091235554
8061,0,1,0.8300382184314629
8062,0,1,0.778387602349191
8063,0,0,0.24850013892897552
8064,0,1,0.6816534961708233
8065,0,1,0.650502893177698
8066,0,1,0.5999330003713207
8067,0,0,0.22778555418605803
8068,0,1,0.8135846307495229
8069,0,0,0.26338331074151416
8070,0,0,0.2164417877150466
8071,0,0,0.36735101536826525
8044,0,0,0.34800591131566716
8042,0,0,0.19075519545072378
8137,0,1,0.6803958612724278
8025,0,0,0.20796789555859435
8011,0,0,0.13982598329236093
8012,0,0,0.3377757037946573
8013,0,0,0.25925304667831556
8014,0,0,0.3369559518785344
8015,0,1,0.771091083126042
8016,0,1,0.8383482738604815
8017,0,0,0.2005223832530785
8018,0,0,0.29139313406207684
8019,0,0,0.16728153013781916
8020,0,0,0.37476405912929667
8023,0,0,0.2605256069892988
8024,0,1,0.7830182707438094
8026,0,0,0.39013513122829535
8041,0,0,0.4676888880457835
8027,0,1,0.6764605814942268
8029,0,0,0.20562409235404344
8030,0,0,0.2538785227143577
8031,0,0,0.07202623927503876
8032,0,0,0.07192668020351761
8033,0,1,0.6465618353483786
8034,0,1,0.693650468757392
8035,0,1,0.5241772370546254
8036,0,1,0.6769326626136363
8037,0,0,0.14712823552752968
8038,0,1,0.7948491654999276
8040,0,0,0.07514523489326541
8072,0,0,0.44926331805428493
8073,0,0,0.1335046252966133
8074,0,1,0.8192694348517412
8120,0,1,0.5362469426510483
8107,0,0,0.14740260233693994
8108,0,0,0.13808552399767957
8109,0,1,0.5244969121757391
8110,0,1,0.6652117909336319
8111,0,1,0.5036364088841019
8112,0,0,0.1815220957407463
8113,0,1,0.596850056383276
8114,0,1,0.6199907138463115
8116,0,0,0.26221736488860936
8117,0,1,0.6642154146716182
8118,0,0,0.20993112087130353
8119,0,1,0.8540631807853866
8121,0,0,0.1555850885277349
8075,0,0,0.49295811860826544
8122,0,1,0.5953175205634187
8123,0,0,0.4649745632303825
8124,0,1,0.8531813893403608
8126,0,1,0.7692022793898795
8127,0,1,0.6902709818709004
8128,0,0,0.15459304354924622
8129,0,0,0.27102658092976306
8130,0,0,0.13968399066645293
8132,0,1,0.7870532135367634
8133,0,0,0.2729182275281393
8134,0,0,0.16480016672377212
8135,0,0,0.28553539453365423
8106,0,0,0.33682691029453304
8105,0,1,0.6417752499967604
8104,0,0,0.27530867762361344
8103,0,0,0.12857960115928635
8076,0,0,0.15575426839912648
8077,0,0,0.13687824473208077
8078,0,0,0.18354368223544681
8079,0,0,0.132026353701562
8080,0,0,0.168981336006181
8081,0,0,0.3673778583361661
8083,0,1,0.514955324336631
8084,0,1,0.670918773782288
8085,0,1,0.5769857423090705
8086,0,0,0.29526252564108063
8087,0,0,0.15418736504691524
8088,0,1,0.8040903841880326
8089,0,1,0.5933313859150932
8090,0,1,0.6147584772804457
8091,0,0,0.48834193584026697
8092,0,0,0.19481546503982072
8093,0,0,0.13881867548209678
8094,0,0,0.18157751745986098
8095,0,1,0.7527741449722611
8096,0,1,0.8417715896155187
8097,0,0,0.29788529725980833
8099,0,0,0.1954728959932734
8100,0,1,0.6985954487550088
8101,0,0,0.18360822880185046
8102,0,0,0.264167502291932
8010,0,0,0.1276471456868574
8009,0,0,0.11601613548921307
8007,0,0,0.46857579875535327
7925,0,1,0.7083048620858194
7911,0,0,0.11990073197868178
7912,0,1,0.6018059574357114
7913,0,1,0.8028594945905196
7914,0,0,0.40363301890445147
7917,0,0,0.1021636921483314
7918,0,1,0.7316104620489732
7919,0,1,0.5084088038199034
7920,0,1,0.6846642372948313
7921,0,0,0.20402712143377222
7922,0,0,0.14655023976772089
7923,0,0,0.25117771713630616
7924,0,0,0.20402712143377222
7927,0,1,0.5177911857687328
7942,0,0,0.29216434032070415
7928,0,1,0.5578677932198308
7929,0,1,0.7046777381136109
7930,0,0,0.16908364353012645
7931,0,1,0.7464602396363709
7932,0,0,0.4793232572735291
7933,0,1,0.5459532832952776
7934,0,1,0.8451514360821614
7935,0,1,0.629376262527198
7936,0,0,0.3388918674372373
7937,0,0,0.2523035397002937
7938,0,0,0.19638960070237507
7939,0,1,0.5392926303040126
7910,0,1,0.6061955452024964
7909,0,0,0.2922393606533629
7908,0,0,0.20875105020789606
7907,0,0,0.23561812087963105
7882,0,0,0.4770244221192533
7883,0,0,0.1259081349575857
7884,0,0,0.26308852443913405
7885,0,0,0.3377757037946573
7886,0,1,0.6264941432005743
7887,0,0,0.37636952903933163
7888,0,0,0.2714109690541536
7889,0,1,0.664161510752516
7890,0,0,0.25574812545779924
7891,0,0,0.20613988779692963
7892,0,1,0.8054690350194698
7893,0,0,0.05630490206532809
7894,0,1,0.5152457418761447
7895,0,1,0.8247689776047806
7896,0,0,0.32571627694265737
7897,0,1,0.8489421936243404
7898,0,0,0.3053925076167939
7899,0,1,0.6248578169355834
7900,0,0,0.23272013652845913
7901,0,0,0.27066102859284336
7902,0,1,0.5155197694106832
7903,0,1,0.6319262065271332
7904,0,0,0.30915586060701983
7905,0,0,0.20474478586941072
7906,0,0,0.18817169512173446
7941,0,0,0.12022721164747778
7943,0,1,0.679622438540066
8006,0,0,0.38242223000358067
7992,0,0,0.4863137769623938
7978,0,0,0.19517435748493195
7979,0,1,0.5490408955889113
7980,0,0,0.2008383821044653
7981,0,0,0.445937184834631
7982,0,0,0.2944773578767287
7984,0,0,0.2769356317933281
7985,0,0,0.2259866492216117
7987,0,1,0.5917684175461225
7988,0,0,0.3198477438659382
7989,0,0,0.23410034864442225
7990,0,0,0.48864262317531443
7991,0,1,0.5060191266409564
7993,0,1,0.7225401204478015
7944,0,1,0.7329082228514507
7994,0,0,0.08855943296402748
7995,0,1,0.793046956121448
7996,0,0,0.2274646348974073
7997,0,0,0.345881494438005
7998,0,0,0.4658021664277416
7999,0,1,0.5613825797282521
8000,0,0,0.15366857321156535
8001,0,0,0.46274957703785496
8002,0,1,0.658228732532497
8003,0,0,0.4521100799889762
8004,0,0,0.23393569900260486
8005,0,0,0.07294759725357593
7977,0,1,0.5372860191532597
7976,0,1,0.7985743895538822
7975,0,0,0.11422666821875953
7974,0,1,0.7012676689725196
7945,0,0,0.19471848237977363
7946,0,0,0.47744999231444957
7947,0,0,0.2733986072092115
7948,0,1,0.5596151330334884
7949,0,0,0.27069063796387055
7950,0,1,0.8312557596196127
7951,0,0,0.16445247604376234
7953,0,0,0.13251299568856387
7954,0,1,0.8746430863733379
7955,0,1,0.6311265218070096
7956,0,0,0.17527302652670068
7958,0,1,0.7811029502299955
7959,0,1,0.5204026291551721
7960,0,0,0.28616147683024534
7961,0,1,0.7141128558169386
7962,0,1,0.8127624893357699
7963,0,1,0.8283524780157455
7964,0,0,0.2196693069597648
7965,0,0,0.24582876669594866
7966,0,0,0.2796291101886069
7967,0,1,0.524723472720426
7969,0,1,0.6919640143164713
7971,0,1,0.6509682934384384
7972,0,0,0.19215674032014765
7973,0,0,0.20255711128826334
8136,0,0,0.2528000258105848
8138,0,1,0.6233477547512996
8388,0,1,0.5725448967294379
8308,0,0,0.19373627187890471
8296,0,0,0.20830833375146376
8297,0,1,0.5900813215048915
8298,0,1,0.6918811196931606
8299,0,0,0.24167681176453337
8300,0,1,0.6769326626136363
8301,0,0,0.1848117697021273
8302,0,1,0.6071754016965049
8303,0,0,0.36688572284009485
8304,0,0,0.1335213865533436
8305,0,0,0.05663107997173976
8306,0,1,0.8045505222928147
8307,0,1,0.7513646160607085
8309,0,1,0.5310460558898242
8293,0,0,0.11473160207975391
8310,0,1,0.6116803295521451
8311,0,1,0.6972544995372852
8312,0,1,0.5657317289117627
8313,0,1,0.6025020386435371
8314,0,0,0.4297360705923352
8315,0,0,0.4764852204997611
8316,0,0,0.03779663741547496
8317,0,1,0.5072458728026173
8318,0,1,0.6178671194041992
8319,0,0,0.08498057046970546
8320,0,0,0.13132116020036505
8321,0,0,0.155831403172045
